"","X","Y","Z","Lum","Longueur","Hauteur","CentroX","CentroY","Dens","time","Cluster_label","AngleXY"
"1",1.19630405355528,-0.291288868530716,0.448535125641438,0.448535125641438,214.835006713867,134.350006103516,1.20784804067274,-0.288196231314527,2225916,1,1,168.888000488281
"2",-1.26521241785826,-0.403702190979643,-1.08360717014732,-1.08360717014732,86.7300033569336,22.2849998474121,-1.26104481734395,-0.405558110276124,101269,1,2,69.5469970703125
"3",-0.0827245611895524,-0.635512346009174,-0.866537522504009,-0.866537522504009,47.6609992980957,19.5550003051758,-0.0800001669517249,-0.63350869953406,52098,1,3,83.359001159668
"4",-0.936325248879291,-0.3548271831831,-0.831056658480695,-0.831056658480695,63.8059997558594,54.7360000610352,-0.932182412107376,-0.358215588692121,197224,1,4,61.5709991455078
"5",-0.370761416854608,-0.438968112627733,-0.691226733777292,-0.691226733777292,46.1220016479492,13.3059997558594,-0.369103773313178,-0.438697920913733,36041,1,5,90.2119979858398
"6",-0.61802859079195,-0.187013158450812,-0.790368330070834,-0.790368330070834,47.6370010375977,30.7369995117187,-0.616467779219874,-0.188577990283361,83648,1,6,12.8559999465942
"7",-0.101865379865784,-0.215454651796071,-0.959351737654752,-0.959351737654752,33.6300010681152,12.8719997406006,-0.0997730856747406,-0.215690545856206,23550,1,7,81.3850021362305
"8",-0.408176936585521,-0.0234369643461772,-1.01133169359815,-1.01133169359815,32.2169990539551,26.4790000915527,-0.406081870800149,-0.023256977945547,45692,1,8,64.3440017700195
"9",1.00345009765738,0.478354180489476,0.506160709689018,0.506160709689018,176.432006835938,44.6129989624023,1.02332453316402,0.496288007519352,614343,1,9,145.761001586914
"10",-0.67774087187988,0.190297669676087,-0.813827541248006,-0.813827541248006,58.9129981994629,40.4150009155273,-0.675581270686506,0.197373489927682,135117,1,10,109.198997497559
"11",0.339275963511265,0.915641894004983,0.083020809015796,0.083020809015796,260.990997314453,146.335006713867,0.310529055840661,0.9186116918119,2720099,1,11,160.188003540039
"12",-0.945851590815794,0.238137886606926,-0.904403036861778,-0.904403036861778,60.1189994812012,32.8059997558594,-0.94164703487289,0.243840796102939,109041,1,12,96.7389984130859
"13",-0.78093827134265,0.655141452579156,-1.20684034440713,-1.20684034440713,13.9779996871948,9.10900020599365,-0.779105098763447,0.655959957405306,6418,1,13,124.733001708984
"14",1.21295693984456,-0.30265957619806,0.480511422574039,0.480511422574039,209.723007202148,128.852005004883,1.22566929342495,-0.296849284368222,2097968,2,1,165.947006225586
"15",0.19703355835269,-0.817552202567979,-0.737658348814835,-0.737658348814835,28.3439998626709,26.0090007781982,0.196271232852851,-0.813191621875629,42742,2,2,110.545997619629
"16",-1.17476332012396,-0.813413798083348,-1.17311176392917,-1.17311176392917,10.3059997558594,6.79500007629395,-1.17276708521448,-0.811978279203014,3568,2,3,106.313003540039
"17",-0.084581327437997,-0.641849206722059,-0.765838588386937,-0.765838588386937,45.492000579834,18.4720001220703,-0.0817096799084285,-0.641037646374366,48339,2,4,83.2030029296875
"18",-0.670812602837272,-0.801396440997213,-1.25614341709592,-1.25614341709592,3.75300002098083,2.03500008583069,-0.669051423782396,-0.800222134513683,379,2,5,90
"19",-1.19280323767804,-0.688953366603198,-0.972006128615173,-0.972006128615173,16.5370006561279,15.2440004348755,-1.19000884442103,-0.687554730710546,13663,2,6,100.539001464844
"20",-0.416837328882932,-0.743697704546922,-1.22533512353097,-1.22533512353097,3.73200011253357,1.7059999704361,-0.415194235378479,-0.742535771793979,319,2,7,5.15199995040894
"21",-0.957132061710834,-0.348888178837976,-0.749923219656787,-0.749923219656787,66.3960037231445,44.9490013122559,-0.953400748105056,-0.351581586409707,172444,2,8,71.3830032348633
"22",-0.369976042807545,-0.441425228623508,-0.493041199713709,-0.493041199713709,44.6389999389649,11.8369998931885,-0.36816471668706,-0.441741369813862,32721,2,9,90.3690032958984
"23",-1.23973048487046,-0.474701564841527,-0.995611270589828,-0.995611270589828,30.2700004577637,26.121000289917,-1.23672296524885,-0.473220137855882,42551,2,10,84.3040008544922
"24",-0.510757896373102,-0.178527326887728,-0.812318475698454,-0.812318475698454,40.064998626709,17.2240009307861,-0.508776579495467,-0.180034358126094,39179,2,11,108.125
"25",-0.737776071271628,-0.265284605952617,-0.891310482183715,-0.891310482183715,30.2049999237061,23.2689990997314,-0.736462994137076,-0.264296188273747,39006,2,12,45.2680015563965
"26",-1.33006219085445,-0.271502155293867,-0.649808380054831,-0.649808380054831,27.3239994049072,11.9289999008179,-1.32731180048316,-0.268662400742921,19360,2,13,80.1579971313477
"27",-0.104346033012303,-0.207655391904632,-0.792558406008648,-0.792558406008648,30.761999130249,11.9619998931885,-0.102304329155495,-0.207425398227293,21008,2,14,81.1740036010742
"28",-0.627283417060819,-0.135263293062138,-0.68611655658907,-0.68611655658907,25.6459999084473,15.1920003890991,-0.625367434262012,-0.133288567422483,22913,2,15,90.9509963989258
"29",0.970805056132218,0.447823523775468,0.536969188916569,0.536969188916569,184.555999755859,53.1360015869141,0.984350996322742,0.460821067858378,770270,2,16,142.423004150391
"30",-0.39301405481586,-0.00149126174701968,-0.910097308565117,-0.910097308565117,34.2490005493164,20.6319999694824,-0.391620757005542,-0.000818864856645285,39004,2,17,71.2080001831055
"31",-1.36738968777045,3.06413217189339e-05,-0.888098519338336,-0.888098519338336,29.2950000762939,8.82299995422363,-1.36530232539219,0.000842025976258989,14358,2,18,76.4830017089844
